Date,Open,High,Low,Close,Volume
2023-05-30,3.46,3.53,3.36,3.43,801286
2023-05-29,3.45,3.55,3.36,3.48,1451065
2023-05-26,3.45,3.49,3.34,3.4,4742439
2023-05-25,3.16,3.33,3.16,3.33,2648413
2023-05-24,3.17,3.21,3.14,3.18,638322
2023-05-23,3.17,3.19,3.14,3.17,681524
2023-05-22,3.15,3.2,3.12,3.15,844597
2023-05-19,3.21,3.22,3.07,3.14,902476
2023-05-18,3.22,3.22,3.11,3.19,466684
2023-05-17,3.25,3.25,3.07,3.17,1249043
2023-05-16,3.21,3.26,3.19,3.22,964959
2023-05-15,3.13,3.23,3.13,3.21,881141
2023-05-12,3.22,3.24,3.15,3.19,603622
2023-05-11,3.23,3.27,3.2,3.22,687417
2023-05-10,3.22,3.27,3.18,3.23,576088
2023-05-09,3.15,3.21,3.14,3.19,619093
2023-05-08,3.22,3.27,3.14,3.15,1396881
2023-05-05,3.34,3.35,3.18,3.21,1404551
2023-05-04,3.3,3.3,3.2,3.28,909200
2023-05-03,3.33,3.45,3.23,3.25,1716938
2023-05-02,3.38,3.4,3.3,3.32,937335
2023-04-28,3.47,3.47,3.35,3.38,943428
2023-04-27,3.54,3.54,3.37,3.43,1800458
2023-04-26,3.41,3.48,3.36,3.38,776317
2023-04-25,3.49,3.49,3.39,3.41,1384822
2023-04-24,3.55,3.55,3.41,3.45,1565355
2023-04-21,3.46,3.54,3.3,3.44,1285037
2023-04-20,3.46,3.55,3.37,3.42,1345151
2023-04-19,3.44,3.63,3.29,3.5,7305086
2023-04-18,3.14,3.46,3.14,3.46,4266934
2023-04-17,3.3,3.37,3.3,3.3,760809
2023-04-13,3.74,3.74,3.47,3.47,1116679
2023-04-12,3.65,3.65,3.58,3.65,1567933
2023-04-11,3.45,3.48,3.44,3.48,1556020
2023-04-10,3.32,3.32,3.02,3.32,4429563
2023-04-06,3.02,3.02,3.02,3.02,553696
2023-04-05,2.7,2.75,2.66,2.75,1027795
2023-04-03,2.38,2.5,2.31,2.5,1705180
2023-03-31,2.43,2.48,2.18,2.28,2397202
2023-03-29,2.5,2.55,2.36,2.4,1312724
