Date,Open,High,Low,Close,Volume
2021-06-01,28.9,32.8,28.0,31.15,12000
2021-05-31,26.45,29.85,26.45,29.85,22000
2021-05-28,26.0,28.6,25.4,27.15,8000
2021-05-25,26.0,26.0,26.0,26.0,2000
2021-05-21,25.5,26.65,25.5,26.65,6000
2021-05-20,24.5,26.25,24.5,26.25,4000
2021-05-18,23.5,25.3,23.5,25.3,6000
2021-05-14,26.3,26.3,24.3,24.3,10000
2021-05-12,25.2,28.3,23.2,27.0,14000
2021-05-11,25.7,25.8,25.7,25.75,4000
2021-05-10,25.0,25.05,25.0,25.05,4000
2021-05-07,23.3,23.3,23.3,23.3,2000
2021-05-05,23.75,23.75,23.75,23.75,2000
2021-05-03,24.2,24.2,24.2,24.2,8000
2021-04-16,24.7,26.85,24.7,26.85,6000
2021-04-09,27.2,27.4,27.2,27.4,4000
2021-03-23,25.3,26.5,25.3,26.5,8000
2021-03-18,26.5,26.6,24.65,26.6,8000
2021-03-17,25.9,25.9,25.9,25.9,2000
2021-03-15,27.0,27.5,27.0,27.25,4000
2021-03-12,26.5,26.5,26.5,26.5,2000
2021-03-10,27.0,27.0,25.25,25.25,6000
2021-03-08,26.55,26.55,26.55,26.55,4000
2021-03-03,27.0,27.9,27.0,27.9,4000
2021-03-02,26.7,26.7,26.7,26.7,2000
2021-03-01,26.5,28.2,26.5,28.1,6000
2021-02-26,26.8,27.0,26.8,26.9,4000
2021-02-24,25.75,25.75,25.75,25.75,2000
2021-02-23,28.5,28.5,27.1,27.1,6000
2021-02-22,28.5,28.5,28.5,28.5,2000
2021-02-15,29.5,29.5,29.5,29.5,2000
2021-02-12,29.5,29.5,29.5,29.5,2000
2021-02-08,29.55,29.55,29.5,29.5,6000
2021-02-03,30.0,30.0,30.0,30.0,4000
2021-02-02,31.25,31.25,31.2,31.2,6000
2021-02-01,29.75,32.8,29.75,32.8,20000
2021-01-29,31.3,31.3,31.3,31.3,2000
2021-01-25,32.9,32.9,32.9,32.9,2000
2021-01-22,34.6,34.6,34.6,34.6,2000
2021-01-21,34.6,34.6,34.6,34.6,2000
2021-01-20,36.4,36.4,36.4,36.4,2000
2021-01-14,38.3,40.05,38.3,38.3,24000
2021-01-11,40.3,42.85,40.3,40.3,6000
2021-01-08,40.85,44.4,40.85,42.4,22000
2021-01-07,40.6,43.95,40.6,42.95,28000
2021-01-06,38.2,42.7,38.2,42.7,22000
2021-01-05,33.5,38.9,33.5,38.9,18000
2021-01-04,35.35,35.4,32.2,35.4,24000
2020-12-22,32.2,32.2,32.2,32.2,2000
2020-12-21,33.45,33.45,32.85,32.85,4000
2020-12-14,36.45,36.45,36.45,36.45,2000
2020-12-11,36.5,36.5,36.45,36.45,4000
2020-12-10,40.5,40.5,40.5,40.5,2000
2020-12-09,38.45,38.5,38.4,38.4,10000
2020-12-08,48.0,48.0,48.0,48.0,6000
2020-10-15,60.0,60.0,60.0,60.0,2000
2020-07-02,45.8,58.5,45.8,54.2,18000
2020-07-01,68.0,68.0,57.2,57.25,16000
2020-06-30,71.5,71.5,60.0,71.5,6000
2020-06-29,75.0,75.0,56.6,60.0,8000
2020-06-26,64.0,64.0,64.0,64.0,4000
2020-06-08,80.0,80.0,80.0,80.0,2000
2020-05-28,72.0,72.1,72.0,72.05,4000
2020-03-30,65.0,65.0,65.0,65.0,4000
2020-03-20,58.5,58.5,58.5,58.5,4000
