Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-05-11 00:00:00+05:30,135.48893141958456,135.90710989957321,128.06631318293813,132.19580078125,47991,6344208.675292969
2015-05-12 00:00:00+05:30,130.6799040306644,131.2026146360373,125.9754214617996,126.94245910644531,28082,3564798.1366271973
2015-05-13 00:00:00+05:30,129.11174826849802,129.58219906333645,124.4856861232846,125.89702606201172,29717,3741281.9234848022
2015-05-14 00:00:00+05:30,127.54359948349581,127.54359948349581,123.70160930700399,125.2175064086914,15360,1923340.8984375
2015-05-15 00:00:00+05:30,124.9561384320852,128.85040072274305,124.9561384320852,126.4720230102539,15691,1984472.513053894
2015-05-18 00:00:00+05:30,126.89021101605462,128.56291265318438,126.6027132830529,128.01405334472656,6456,826458.7283935547
2015-05-19 00:00:00+05:30,125.74019178792562,130.13104037590873,125.74019178792562,127.38675689697266,8735,1112723.3214950562
2015-05-20 00:00:00+05:30,127.41290353684226,131.85602479389632,127.41290353684226,130.235595703125,25164,3277248.5302734375
2015-05-21 00:00:00+05:30,131.04579369303045,131.04579369303045,127.80493576702017,128.0401611328125,10297,1318429.5391845703
2015-05-22 00:00:00+05:30,127.83108413131542,130.15718941392566,125.50497884870519,126.39360809326172,20807,2629871.8035964966
2015-05-25 00:00:00+05:30,126.49814549174238,127.517443003604,126.23678396414016,127.04700469970703,10791,1370964.2277145386
2015-05-26 00:00:00+05:30,125.7663365058945,128.09244171664386,125.7663365058945,126.99473571777344,5904,749776.9196777344
2015-05-27 00:00:00+05:30,126.49814938232345,128.04016999681593,126.26292400024685,126.44587707519531,4721,596950.9856719971
2015-05-28 00:00:00+05:30,125.71406840652251,127.9356290778482,120.14710487394267,123.67546081542969,41203,5095800.011978149
2015-05-29 00:00:00+05:30,123.88455943185815,124.90386952749161,121.00960713062325,121.40164947509766,22560,2738821.212158203
2015-06-01 00:00:00+05:30,121.40163998623517,125.8970211808125,120.22551304473909,125.37429809570312,18418,2309143.82232666
2015-06-02 00:00:00+05:30,124.40728548716115,126.36748480990002,122.36867769368118,123.0482177734375,9885,1216331.6326904297
2015-06-03 00:00:00+05:30,122.3425287124527,137.7104878004831,118.18690509035669,119.02326202392578,38774,4615007.961715698
2015-06-04 00:00:00+05:30,118.68348732070721,121.14027327000882,117.61191748778546,118.31758117675781,18882,2234072.567779541
2015-06-05 00:00:00+05:30,118.16076099265135,121.97661435395855,118.16076099265135,119.38916015625,9580,1143748.154296875
2015-06-08 00:00:00+05:30,119.25847346792597,119.65051573469934,116.04373932617057,118.76188659667969,169115,20084416.451797485
2015-06-09 00:00:00+05:30,119.67667353325818,121.24483043821789,116.56648343339609,117.69033813476562,159593,18782554.13394165
2015-06-10 00:00:00+05:30,117.89941945847472,119.72893799207449,116.06990092487496,117.55966186523438,44708,5255857.362670898
2015-06-11 00:00:00+05:30,117.82101035018216,119.07554587211526,115.80855117532563,116.25285339355469,20981,2439101.117050171
2015-06-12 00:00:00+05:30,115.02444729906743,116.72328475602637,114.89376653731776,116.01760864257812,66037,7661454.821929932
2015-06-15 00:00:00+05:30,114.99831638364843,118.13462991689217,114.99831638364843,116.17443084716797,54590,6341962.179946899
2015-06-16 00:00:00+05:30,115.02446045842989,115.54718356523068,114.29264810890878,114.47560119628906,49868,5708669.280456543
2015-06-17 00:00:00+05:30,114.60627667357583,117.24601579506958,113.43016218344604,115.33808898925781,113936,13141160.507080078
2015-06-18 00:00:00+05:30,114.13581162071773,120.64367584795843,114.13581162071773,118.84029388427734,102486,12179466.359024048
2015-06-19 00:00:00+05:30,119.28462901614634,120.35619894045735,116.74943439121193,117.66419982910156,19244,2264329.8615112305
2015-06-22 00:00:00+05:30,116.59261807620062,122.15958186174785,116.59261807620062,120.8005142211914,47457,5732830.003395081
2015-06-23 00:00:00+05:30,120.95731530423333,129.32082174147664,120.30391150218827,128.6151580810547,302163,38862742.01124573
2015-06-24 00:00:00+05:30,130.13105153850265,141.39565919725203,130.13105153850265,137.60594177246094,337289,46412970.49449158
2015-06-25 00:00:00+05:30,135.38437940089807,142.20587814555736,134.312809550276,137.21389770507812,89106,12226581.568908691
2015-06-26 00:00:00+05:30,138.4423021959718,139.435463623709,132.82306630154864,135.0184783935547,55961,7555769.069381714
2015-06-29 00:00:00+05:30,134.33895607689794,134.33895607689794,127.5174568055131,131.49012756347656,29900,3931554.814147949
2015-06-30 00:00:00+05:30,130.75831272166837,144.3751486623854,130.75831272166837,142.4410858154297,285876,40720487.84857178
2015-07-01 00:00:00+05:30,144.79332066328942,150.54323664317667,144.79332066328942,147.6160125732422,214369,31644296.999313354
2015-07-02 00:00:00+05:30,146.88421051413243,150.49097477156224,140.71611568363173,143.2251739501953,94377,13517162.241897583
2015-07-03 00:00:00+05:30,143.5126690792941,160.1612863931901,143.22517139862572,154.69886779785156,564981,87401921.02729797
2015-07-06 00:00:00+05:30,151.06597863626612,168.21118412250368,150.54325554180488,166.53848266601562,703904,117227104.10253906
2015-07-07 00:00:00+05:30,166.77370059221772,169.8838779734465,158.2795004706517,160.9715118408203,283530,45640252.75222778
2015-07-08 00:00:00+05:30,158.38404753414113,169.8838806005594,155.7704445842142,164.99644470214844,202326,33383070.670806885
2015-07-09 00:00:00+05:30,165.44075350630882,171.71339289825838,162.04307850283965,164.89190673828125,274106,45197860.98840332
2015-07-10 00:00:00+05:30,165.31010420756206,173.9872588849727,165.31010420756206,170.9816131591797,250481,42827645.44572449
2015-07-13 00:00:00+05:30,171.9747470350726,172.49745762758886,168.05434913937407,170.09295654296875,123367,20983857.769836426
2015-07-14 00:00:00+05:30,170.14525434161456,173.96110820142567,163.97715890276368,164.735107421875,209610,34530125.86669922
2015-07-15 00:00:00+05:30,164.7612270439815,174.01336305091536,162.3305772413622,170.38046264648438,370929,63199054.6289978
2015-07-16 00:00:00+05:30,179.76330140836987,179.76330140836987,168.31573957741236,169.3350372314453,304632,51584871.06188965
2015-07-17 00:00:00+05:30,174.06562204620647,175.00651104397988,170.4849942220102,171.92247009277344,248272,42683535.49487305
2015-07-20 00:00:00+05:30,172.49746874087384,178.66556365287258,170.4066013445297,174.4053955078125,229876,40091614.697753906
2015-07-21 00:00:00+05:30,172.73269071488764,177.72467106221717,168.39412664042695,169.0736541748047,224655,37983241.77864075
2015-07-22 00:00:00+05:30,169.8839006080557,171.55660221252214,165.83282115917137,169.5702667236328,96622,16384218.31137085
2015-07-23 00:00:00+05:30,170.66794430679244,174.3269932334828,168.42026006955888,172.62814331054688,150526,25985023.89996338
2015-07-24 00:00:00+05:30,174.5883488436885,177.67240252718648,171.4258991450639,172.70655822753906,148928,25720842.303710938
2015-07-27 00:00:00+05:30,173.54291687664713,174.43153366342423,168.31572343421755,170.24978637695312,112769,19198898.159942627
2015-07-28 00:00:00+05:30,172.44520796509562,177.17582719127424,170.40661273962849,175.65994262695312,180847,31767573.64425659
2015-07-29 00:00:00+05:30,176.9405974100757,182.95187565354684,176.9405974100757,181.82803344726562,390055,70922933.5862732
2015-07-30 00:00:00+05:30,183.63140785740455,193.4062546240329,183.63140785740455,190.24380493164062,801888,152554224.24902344
2015-07-31 00:00:00+05:30,193.24943768026193,193.24943768026193,179.31896738655817,183.84048461914062,280711,51606046.277923584
2015-08-03 00:00:00+05:30,184.9904825267301,203.86066168547552,184.9904825267301,200.5152587890625,1493604,299490392.5883789
2015-08-04 00:00:00+05:30,202.29250100835614,207.5196944903119,196.22895059530936,206.31744384765625,561834,115916154.7467041
2015-08-05 00:00:00+05:30,208.25149670278603,214.86389358530784,203.65155869650275,205.45494079589844,442366,90886280.34011841
2015-08-06 00:00:00+05:30,205.42879960395723,207.46740702880504,197.3789145133165,199.36524963378906,219919,43844206.33421326
2015-08-07 00:00:00+05:30,200.04481658599747,205.4288273258404,199.417548848847,200.61981201171875,198021,39726935.79437256
2015-08-10 00:00:00+05:30,200.22776641244303,204.69701162942962,197.64029948465947,199.65277099609375,122782,24513766.528442383
2015-08-11 00:00:00+05:30,198.63345429695988,200.64592561499575,183.5268575581959,189.6165313720703,220383,41788260.03337097
2015-08-12 00:00:00+05:30,188.17907677555297,190.0608675433085,178.56103369082598,179.84170532226562,162922,29300170.31451416
2015-08-13 00:00:00+05:30,181.38369681490403,187.39497432918625,169.09978027105075,170.43272399902344,263472,44904250.6574707
2015-08-14 00:00:00+05:30,174.58836835420718,178.77012851203236,168.31574056325826,177.4633331298828,179861,31918732.560073853
2015-08-17 00:00:00+05:30,179.10987464908058,181.6712052042986,170.6156746839978,177.17581176757812,69512,12315845.02758789
2015-08-18 00:00:00+05:30,177.77693807209852,184.49387943123986,177.20194272139676,182.58595275878906,191497,34964662.19544983
2015-08-19 00:00:00+05:30,183.97116201711495,192.04718354333062,180.23371701471163,187.94383239746094,336382,63220922.229522705
2015-08-20 00:00:00+05:30,186.16659611421815,188.12679525323182,177.7246804512789,179.92010498046875,145693,26213099.854919434
2015-08-21 00:00:00+05:30,177.1758279554153,177.1758279554153,166.61689582453303,172.26226806640625,613221,105634840.2859497
2015-08-24 00:00:00+05:30,162.56580957715636,166.74756937792566,150.54325326139164,152.921630859375,254490,38917025.837402344
2015-08-25 00:00:00+05:30,149.18418890761228,159.1158655377207,141.1343029839566,150.51712036132812,170733,25698239.510650635
2015-08-26 00:00:00+05:30,148.97509445995945,158.74995381896272,146.88421458747084,154.22842407226562,213452,32920365.575073242
2015-08-27 00:00:00+05:30,157.39088458875642,158.9067816233013,153.6795753612752,155.875,140887,21960761.125
2015-08-28 00:00:00+05:30,158.7499587280349,161.38968546991248,149.18418830505408,151.06597900390625,141443,21367225.26824951
2015-08-31 00:00:00+05:30,151.8500378415178,155.63975506057864,151.22278262761347,152.7909393310547,127413,19467551.95298767
2015-09-01 00:00:00+05:30,151.5886966843629,153.62730423910892,147.40693695945893,148.55691528320312,103237,15336570.263092041
2015-09-02 00:00:00+05:30,149.49781878723093,151.2750648268109,147.22398581791583,148.76600646972656,51183,7614290.509140015
2015-09-03 00:00:00+05:30,151.58869728693077,151.58869728693077,146.93648677418028,148.008056640625,90429,13384220.553955078
